CA Number,ID,Collection,Site,context,tomb,material,Ware?,vessel form,pXRF,3D scanned object,Raman Spectroscopy,SEM-EDS
CA230361,35,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230362,45,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230363,437,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T7,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230364,61,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230365,266,Union del Sur,"Site 137 - Porvenir, Iles ",Corte 7,Ct7 T1,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230366,262,Union del Sur,"Site 137 - Porvenir, Iles ",Corte 7,Ct7 T1,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230369,21,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230370,32,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,copa,Yes,Yes,No,No
CA230372,365,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T1,ceramic ,Capulí - unpainted,copa,Yes,Yes,No,No
CA230373,373,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T1,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230374,345,Union del Sur,"Site 137 - Porvenir, Iles ",Monitoreo,M T1,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230375,350,Union del Sur,"Site 137 - Porvenir, Iles ",Monitoreo,M T2,ceramic ,Capulí - unpainted,copa,Yes,Yes,No,No
CA230376,367,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T1,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230377,401,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T4,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230378,396,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T4,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230379,378,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T3,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230381,455,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T10,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230382,452,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T10,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230383,356,Union del Sur,"Site 137 - Porvenir, Iles ",Monitoreo,M T4,ceramic ,Capulí - unpainted,copa,Yes,Yes,No,No
CA230386,368,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T1,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230387,420,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T5,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230388,416,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T5,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230389,445,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T8,ceramic ,Capulí,copa,Yes,Yes,No,No
CA230390,380,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T2,ceramic ,Capulí,copa,No,Yes,No,No
CA230392,425,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T6,ceramic ,Capulí,copa,No,Yes,No,No
CA230401,BOM197,Bomboná,Bomboná -Los Eucaliptos,,,ceramic ,Tuza,copa,No,Yes,No,No
CA230402,BOM240,Bomboná,Bomboná-Olleros,,,ceramic ,Tuza,copa,No,Yes,No,No
CA230403,BOM252,Bomboná,Bomboná,,,ceramic ,Piartal,copa,No,Yes,No,No
CA230404,BOM181,Bomboná,Bomboná-Aguacate,,,ceramic ,Tuza,copa,No,Yes,No,No
CA230405,BOM261,Bomboná,Bomboná -Los Eucaliptos,,,ceramic ,Capuli,copa,No,Yes,No,No
CA230406,BOM096,Bomboná,Bomboná -Los Eucaliptos,,,ceramic ,Tuza,copa,No,Yes,No,No
CA230407,BOM165,Bomboná,Bomboná-Aguacate,,,ceramic ,Tuza,copa,No,Yes,No,No
CA230408,BOM189,Bomboná,Bomboná -Los Eucaliptos,,,ceramic ,red slip,copa,No,Yes,No,No
CA230410,BOM210,Bomboná,Bomboná-Aguacate,,,ceramic ,Tuza,copa,No,Yes,No,No
CA230411,BOM182,Bomboná,Bomboná-Aguacate,,,ceramic ,Tuza,copa,No,Yes,No,No
CA230412,BOM179,Bomboná,Consacá,,,ceramic ,Tuza,copa,No,Yes,No,No
CA230413,BOM229,Bomboná,Bomboná-Aguacate,,,ceramic ,red slip,copa,No,Yes,No,No
CA230416,OBO007,Obonuco,Obonuco,,,ceramic ,Piartal,copa,No,Yes,No,No
CA230417,OBO011,Obonuco,Obonuco,,,ceramic ,Piartal,copa,No,Yes,No,No
CA230422,OBO015,Obonuco,Obonuco,,,ceramic ,Piartal,copa,No,Yes,No,No
CA230423,OBO030,Obonuco,Obonuco,,,ceramic ,Piartal,copa,No,Yes,No,No
CA230424,OBO039,Obonuco,Obonuco,,,ceramic ,Piartal,copa,No,Yes,No,No
CA230428,SAN075,San Damián,San Damián,Rasgo 36,18,ceramic ,Tuza,copa,No,Yes,No,No
CA230429,SAN077,San Damián,San Damián,"Poligono A, Rasgo 95",50,ceramic ,Tuza,copa,No,Yes,No,No
CA230430,SAN078,San Damián,San Damián,"Monitoreo, Copa, 1 October 2019",,ceramic ,Tuza,copa,No,Yes,No,No
CA230431,SAN074,San Damián,San Damián,Sector Aola,3,ceramic ,Tuza?,copa,No,Yes,No,No
CA230432,SAN076,San Damián,San Damián,"Poligono B, Rasgo 50",28,ceramic ,Piartal,copa,No,Yes,No,No
CA230434,SAN083,San Damián,San Damián,"Poligono BIII, Rasgo 133",73,ceramic ,Piartal,copa,No,Yes,No,No
CA230714,C03364,Museo del Oro,"Pupiales (Colombia, Nariño) ",compra a Camilo Orbes,,ceramic ,Piartal,copa,No,Yes,No,No
CA230715,C03990,Museo del Oro,"Pupiales (Colombia, Nariño) ",compra a Camilo Orbes,,ceramic ,Tuza,copa,No,Yes,No,No
CA230716,C03991,Museo del Oro,"Pupiales (Colombia, Nariño) ",compra a Camilo Orbes,,ceramic ,Piartal,copa,No,Yes,No,No
CA230717,C03993,Museo del Oro,"Pupiales (Colombia, Nariño) ",compra a Camilo Orbes,,ceramic ,Piartal,copa,No,Yes,No,No
CA230718,C04118,Museo del Oro,"Pupiales (Colombia, Nariño) ",compra a Camilo Orbes,,ceramic ,Tuza,copa,No,Yes,No,No
CA230719,C04120,Museo del Oro,"Pupiales (Colombia, Nariño) ",compra a Camilo Orbes,,ceramic ,Tuza,copa,No,Yes,No,No
CA230720,C04122,Museo del Oro,"Pupiales (Colombia, Nariño) ",compra a Camilo Orbes,,ceramic ,Tuza,copa,No,Yes,No,No
CA230721,C04123,Museo del Oro,"Pupiales (Colombia, Nariño) ",compra a Camilo Orbes,,ceramic ,Tuza,copa,No,Yes,No,No
CA230722,C13735,Museo del Oro,Nariño (Colombia) ,tenencia María Victoria Uribe,,ceramic ,Tuza,copa,No,Yes,No,No
CA230723,C13737,Museo del Oro,Nariño (Colombia) ,tenencia María Victoria Uribe,,ceramic ,Piartal,copa,No,Yes,No,No
CA230724,C13744,Museo del Oro,Nariño (Colombia) ,tenencia María Victoria Uribe,,ceramic ,Tuza,copa,No,Yes,No,No
CA230725,C13747,Museo del Oro,Nariño (Colombia) ,tenencia María Victoria Uribe,,ceramic ,Piartal,copa,No,Yes,No,No
CA230726,C13751,Museo del Oro,Nariño (Colombia) ,tenencia María Victoria Uribe,,ceramic ,Piartal,copa,No,Yes,No,No
CA230367,265,Union del Sur,"Site 137 - Porvenir, Iles ",Corte 7,Ct7 T1,ceramic ,Capulí,cuenco,Yes,Yes - not included,No,No
CA230368,277,Union del Sur,"Site 137 - Porvenir, Iles ",Corte 9,Ct9 T1,ceramic ,Capulí,cuenco,Yes,Yes - not included,No,No
CA230380,400,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T4,ceramic ,Capulí,copa,Yes,Yes - not included,No,No
CA230384,463,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T10,ceramic ,Capulí,copa w/ Instrumento musical,Yes,Yes - not included,No,No
