sample_id,no_of_analyses,area_of_analysis,laboratory,sample_date,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,Fe2O3,S,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
,,,,,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
CA230295,5,fabric,University of Cambridge,22/08/2023,,,16.74,53.19,,1.74,2.26,0.84,0.07,4.59,,18,116,63,722,14,170,9,18
CA230296,5,fabric,University of Cambridge,22/08/2023,,,19.96,54.94,,1.24,1.13,0.78,0.03,4.19,,,40,36,375,7,190,14,25
CA230297,5,fabric,University of Cambridge,22/08/2023,,,19.92,48.95,,0.89,1.57,0.72,0.04,5.08,,,59,63,505,7,201,17,26
CA230298_1,5,fabric,University of Cambridge,22/08/2023,,1.72,16.32,45.76,,1.56,1.39,0.8,0.13,7.4,,39,122,112,192,38,178,17,29
CA230298_2,5,fabric,University of Cambridge,22/08/2023,,2.27,19.9,53.92,,2.38,1.12,0.91,0.16,7.47,,36,138,115,153,38,195,21,24
CA230299,5,fabric,University of Cambridge,22/08/2023,,,22.77,45.27,,1.43,1.09,0.67,0.1,4.82,,,55,63,446,10,295,15,16
CA230301,5,fabric,University of Cambridge,22/08/2023,,,18.5,54.78,,1.58,1.76,0.88,0.05,5.32,,40,99,60,580,16,192,10,16
CA230334,5,fabric,Museo del Oro,06/06/2023,,1.9,14.65,55.61,,1.3,2.47,0.92,0.06,6.45,,22,82,57,621,9,237,18,27
CA230334,3,black ,Museo del Oro,06/06/2023,,1.67,18.09,43.61,,1.14,1.16,1.08,0.21,6.94,,39,94,,568,13,206,13,25
CA230334,3,red,Museo del Oro,06/06/2023,,,18.92,44.36,,1.19,0.96,1.17,0.13,7.53,,33,83,,521,11,235,15,15
CA230335,3,red,Museo del Oro,06/06/2023,,,10.67,36.99,,0.74,0.91,0.49,0.05,8.43,,,35,,673,10,205,17,
CA230335,5,fabric,Museo del Oro,06/06/2023,,,15.9,56.81,,2,2.07,0.67,0.04,3.27,,25,61,46,773,10,238,20,17
CA230336,3,black ,Museo del Oro,06/06/2023,,1.73,12.17,59.47,,1.81,2.13,0.59,0.03,5.05,,17,48,,510,19,182,16,23
CA230336,5,fabric,Museo del Oro,06/06/2023,,1.77,15.76,53.38,,1.99,2.64,0.66,0.04,3.46,,25,70,51,586,27,217,17,22
CA230336,3,red,Museo del Oro,06/06/2023,,1.83,14.43,44.92,,1.52,1.71,0.95,0.04,6.62,,15,56,,472,15,197,15,15
CA230337,3,red,Museo del Oro,06/06/2023,,,20.92,47.41,,1.16,0.77,1.08,0.08,5.05,,19,42,,410,11,199,20,20
CA230337,3,cream,Museo del Oro,07/06/2023,,,16.87,62.76,,1.65,1,0.69,0.14,2.87,,16,35,,433,12,217,18,20
CA230337,3,black ,Museo del Oro,07/06/2023,,,19.64,56.02,,1.6,1.09,0.65,0.2,3.02,,18,43,,431,11,195,19,18
CA230337,5,fabric,Museo del Oro,07/06/2023,,,17.8,47.95,,1.09,1.12,0.59,0.19,4.43,,40,55,49,421,11,180,19,16
CA230338,3,black ,Museo del Oro,07/06/2023,,,14.47,58.78,,1.67,1.23,0.64,0.07,3.7,,,47,,462,12,156,14,18
