Sample,Collection,Ware,tomb,component,MgO,Al2O3,SiO2,K2O,CaO,Fe2O3,Mg,Al,Si,K,Ca,Fe,Ti,Mn,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
CA230456,Union del Sur - Site 137,Capulí,LS T7,red,,,,,,,<LOD,103532,221017,6390,8185,47367,6025,421,11,47,,390,8,186,11,10
CA230457,Union del Sur - Site 137,Capulí,LS T7,fabric,1.68,16.4,53.38,1.05,1.88,5.85,10155,86811,249497,8688,13450,40945,4606,830,<LOD,84,61,531,8,212,11,17
CA230457,Union del Sur - Site 137,Capulí,LS T7,fugative black,,,,,,,<LOD,107479,254397,11096,15130,44663,5981,1522,25,74,,471,9,213,11,19
CA230457,Union del Sur - Site 137,Capulí,LS T7,red,,,,,,,<LOD,110811,270879,11910,11625,40396,6850,988,15,63,,484,11,190,10,11
CA230458,Union del Sur - Site 137,Capulí,LS T8,fabric,<LOD,16.66,53.54,1.02,1.74,5.29,<LOD,88149,250251,8478,12438,37035,4576,440,<LOD,49,56,542,8,194,14,19
CA230458,Union del Sur - Site 137,Capulí,LS T8,fugative black,,,,,,,<LOD,84547,237959,12406,13954,40525,6326,872,34,69,,660,11,179,14,15
CA230458,Union del Sur - Site 137,Capulí,LS T8,red,,,,,,,<LOD,91511,239822,13849,10186,45542,7492,661,22,57,,614,12,209,14,11
CA230459,Union del Sur - Site 137,Capulí,LS T8,fabric,<LOD,17.47,55.69,0.94,1.75,5.2,<LOD,92444,260330,7775,12478,36364,5049,405,<LOD,55,53,451,8,227,15,<LOD
CA230459,Union del Sur - Site 137,Capulí,LS T8,fugative black,,,,,,,<LOD,113656,214109,7451,10989,43149,6073,501,12,52,,459,9,188,16,11
CA230459,Union del Sur - Site 137,Capulí,LS T8,red,,,,,,,<LOD,119627,199863,6850,8434,44635,5518,356,<LOD,49,,412,11,200,12,12
CA230460,Union del Sur - Site 137,Capulí,LS T8,fabric,1.71,20.11,52.27,1.04,1.96,5.81,10293,106434,244316,8673,14026,40647,4292,2625,21,73,59,502,11,206,11,19
CA230460,Union del Sur - Site 137,Capulí,LS T8,fugative black,,,,,,,10766,106729,245996,8670,14529,40233,7201,598,30,67,,494,13,218,14,13
CA230460,Union del Sur - Site 137,Capulí,LS T8,red,,,,,,,11235,97360,261972,8972,14827,41462,6625,604,15,65,,499,10,208,12,16
CA230461,Union del Sur - Site 137,Capulí,LS T8,fabric,<LOD,19.02,51.05,1.03,1.86,5.97,<LOD,100690,238602,8566,13280,41767,4309,772,16,54,59,482,11,201,11,19
CA230461,Union del Sur - Site 137,Capulí,LS T8,fugative black,,,,,,,<LOD,119724,252448,9592,13799,39473,5783,761,15,56,,462,8,196,13,16
CA230461,Union del Sur - Site 137,Capulí,LS T8,red,,,,,,,10511,111635,251790,9887,11375,41189,6833,529,15,52,,485,12,215,11,16
